0.000000 0.000000  1.000000 0.500000
0.002500 0.002500  0.975475 0.500301
0.005000 0.004939  0.950950 0.500601
0.007500 0.007316  0.926425 0.500902
0.010000 0.009632  0.901900 0.501203
0.012500 0.011887  0.877375 0.501504
0.015000 0.014080  0.852850 0.501804
0.017500 0.016212  0.828325 0.502105
0.020000 0.018283  0.803800 0.502406
0.022500 0.020293  0.779275 0.502707
0.025000 0.022241  0.754750 0.503007
0.027500 0.024128  0.730225 0.503308
0.030000 0.025953  0.705700 0.503609
0.032500 0.027718  0.681175 0.503910
0.035000 0.029421  0.656650 0.504210
0.037500 0.031062  0.632125 0.504511
0.040000 0.032642  0.607600 0.504812
0.042500 0.034161  0.583075 0.505113
0.045000 0.035619  0.558550 0.505413
0.047500 0.037016  0.534025 0.505714
0.050000 0.038351  0.509500 0.506015
0.052500 0.039624  0.484975 0.506315
0.055000 0.040837  0.460450 0.506616
0.057500 0.041988  0.435925 0.506917
0.060000 0.043078  0.411400 0.507218
0.062500 0.044106  0.386875 0.507518
0.065000 0.045073  0.362350 0.507819
0.067500 0.045979  0.337825 0.508120
0.070000 0.046824  0.313300 0.508421
0.072500 0.047607  0.288775 0.508721
0.075000 0.048329  0.264250 0.509022
0.077500 0.048990  0.239725 0.509323
0.080000 0.049589  0.215200 0.509624
0.082500 0.050127  0.190675 0.509924
0.085000 0.050604  0.166150 0.510225
0.087500 0.051019  0.141625 0.510526
0.090000 0.051373  0.117100 0.510827
0.092500 0.051666  0.092575 0.511127
0.095000 0.051897  0.068050 0.511428
0.097500 0.052067  0.043525 0.511729
0.100000 0.052176  0.019000 0.512030
0.102500 0.052224  -0.005525 0.512330
0.105000 0.052210  -0.030050 0.512631
0.107500 0.052135  -0.054575 0.512932
0.110000 0.051998  -0.079100 0.513232
0.112500 0.051801  -0.103625 0.513533
0.115000 0.051542  -0.128150 0.513834
0.117500 0.051221  -0.152675 0.514135
0.120000 0.050839  -0.177200 0.514435
0.122500 0.050396  -0.201725 0.514736
0.125000 0.049892  -0.226250 0.515037
0.127500 0.049327  -0.250775 0.515338
0.130000 0.048700  -0.275300 0.515638
0.132500 0.048011  -0.299825 0.515939
0.135000 0.047262  -0.324350 0.516240
0.137500 0.046451  -0.348875 0.516541
0.140000 0.045579  -0.373400 0.516841
0.142500 0.044645  -0.397925 0.517142
0.145000 0.043650  -0.422450 0.517443
0.147500 0.042594  -0.446975 0.517744
0.150000 0.041477  -0.471500 0.518044
0.152500 0.040298  -0.496025 0.518345
0.155000 0.039058  -0.520550 0.518646
0.157500 0.037757  -0.545075 0.518946
0.160000 0.036394  -0.569600 0.519247
0.162500 0.034970  -0.594125 0.519548
0.165000 0.033485  -0.618650 0.519849
0.167500 0.031938  -0.643175 0.520149
0.170000 0.030330  -0.667700 0.520450
0.172500 0.028661  -0.692225 0.520751
0.175000 0.026930  -0.716750 0.521052
0.177500 0.025138  -0.741275 0.521352
0.180000 0.023285  -0.765800 0.521653
0.182500 0.021371  -0.790325 0.521954
0.185000 0.019395  -0.814850 0.522255
0.187500 0.017358  -0.839375 0.522555
0.190000 0.015259  -0.863900 0.522856
0.192500 0.013100  -0.888425 0.523157
0.195000 0.010879  -0.912950 0.523458
0.197500 0.008596  -0.937475 0.523758
0.200000 0.006252  -0.962000 0.524059
0.202500 0.003847  -0.986525 0.524360
0.205000 0.001381  -1.011050 0.524661
0.207500 -0.001146  -1.035575 0.524961
0.210000 -0.003735  -1.060100 0.525262
0.212500 -0.006386  -1.084625 0.525563
0.215000 -0.009097  -1.109150 0.525863
0.217500 -0.011870  -1.133675 0.526164
0.220000 -0.014704  -1.158200 0.526465
0.222500 -0.017600  -1.182725 0.526766
0.225000 -0.020557  -1.207250 0.527066
0.227500 -0.023575  -1.231775 0.527367
0.230000 -0.026654  -1.256300 0.527668
0.232500 -0.029795  -1.280825 0.527969
0.235000 -0.032997  -1.305350 0.528269
0.237500 -0.036260  -1.329875 0.528570
0.240000 -0.039585  -1.354400 0.528871
0.242500 -0.042971  -1.378925 0.529172
0.245000 -0.046418  -1.403450 0.529472
0.247500 -0.049927  -1.427975 0.529773
0.250000 -0.053497  -1.452500 0.530074
0.252500 -0.057128  -1.477025 0.530375
0.255000 -0.060821  -1.501550 0.530675
0.257500 -0.064575  -1.526075 0.530976
0.260000 -0.068390  -1.550600 0.531277
0.262500 -0.072266  -1.575125 0.531577
0.265000 -0.076204  -1.599650 0.531878
0.267500 -0.080203  -1.624175 0.532179
0.270000 -0.084264  -1.648700 0.532480
0.272500 -0.088385  -1.673225 0.532780
0.275000 -0.092568  -1.697750 0.533081
0.277500 -0.096813  -1.722275 0.533382
0.280000 -0.101119  -1.746800 0.533683
0.282500 -0.105486  -1.771325 0.533983
0.285000 -0.109914  -1.795850 0.534284
0.287500 -0.114403  -1.820375 0.534585
0.290000 -0.118954  -1.844900 0.534886
0.292500 -0.123567  -1.869425 0.535186
0.295000 -0.128240  -1.893950 0.535487
0.297500 -0.132975  -1.918475 0.535788
0.300000 -0.137771  -1.943000 0.536089
0.302500 -0.142629  -1.967525 0.536389
0.305000 -0.147548  -1.992050 0.536690
