0.000000 0.000000  1.000000 0.500000
0.002500 0.002531  1.024525 0.500000
0.005000 0.005123  1.049050 0.500000
0.007500 0.007776  1.073575 0.500000
0.010000 0.010490  1.098100 0.500000
0.012500 0.013266  1.122625 0.500000
0.015000 0.016104  1.147150 0.500000
0.017500 0.019002  1.171675 0.500000
0.020000 0.021962  1.196200 0.500000
0.022500 0.024983  1.220725 0.500000
0.025000 0.028066  1.245250 0.500000
0.027500 0.031209  1.269775 0.500000
0.030000 0.034414  1.294300 0.500000
0.032500 0.037681  1.318825 0.500000
0.035000 0.041009  1.343350 0.500000
0.037500 0.044398  1.367875 0.500000
0.040000 0.047848  1.392400 0.500000
0.042500 0.051360  1.416925 0.500000
0.045000 0.054933  1.441450 0.500000
0.047500 0.058567  1.465975 0.500000
0.050000 0.062263  1.490500 0.500000
0.052500 0.066019  1.515025 0.500000
0.055000 0.069838  1.539550 0.500000
0.057500 0.073717  1.564075 0.500000
0.060000 0.077658  1.588600 0.500000
0.062500 0.081660  1.613125 0.500000
0.065000 0.085724  1.637650 0.500000
0.067500 0.089848  1.662175 0.500000
0.070000 0.094035  1.686700 0.500000
0.072500 0.098282  1.711225 0.500000
0.075000 0.102591  1.735750 0.500000
0.077500 0.106961  1.760275 0.500000
0.080000 0.111392  1.784800 0.500000
0.082500 0.115885  1.809325 0.500000
0.085000 0.120439  1.833850 0.500000
0.087500 0.125054  1.858375 0.500000
0.090000 0.129731  1.882900 0.500000
0.092500 0.134468  1.907425 0.500000
0.095000 0.139268  1.931950 0.500000
0.097500 0.144128  1.956475 0.500000
0.100000 0.149050  1.981000 0.500000
0.102500 0.154033  2.005525 0.500000
0.105000 0.159078  2.030050 0.500000
0.107500 0.164183  2.054575 0.500000
0.110000 0.169351  2.079100 0.500000
0.112500 0.174579  2.103625 0.500000
0.115000 0.179869  2.128150 0.500000
0.117500 0.185220  2.152675 0.500000
0.120000 0.190632  2.177200 0.500000
0.122500 0.196106  2.201725 0.500000
0.125000 0.201641  2.226250 0.500000
0.127500 0.207237  2.250775 0.500000
0.130000 0.212895  2.275300 0.500000
0.132500 0.218613  2.299825 0.500000
0.135000 0.224394  2.324350 0.500000
0.137500 0.230235  2.348875 0.500000
0.140000 0.236138  2.373400 0.500000
0.142500 0.242102  2.397925 0.500000
0.145000 0.248128  2.422450 0.500000
0.147500 0.254214  2.446975 0.500000
0.150000 0.260363  2.471500 0.500000
0.152500 0.266572  2.496025 0.500000
0.155000 0.272843  2.520550 0.500000
0.157500 0.279175  2.545075 0.500000
0.160000 0.285568  2.569600 0.500000
0.162500 0.292023  2.594125 0.500000
0.165000 0.298539  2.618650 0.500000
0.167500 0.305116  2.643175 0.500000
0.170000 0.311755  2.667700 0.500000
0.172500 0.318454  2.692225 0.500000
0.175000 0.325216  2.716750 0.500000
0.177500 0.332038  2.741275 0.500000
0.180000 0.338922  2.765800 0.500000
0.182500 0.345867  2.790325 0.500000
0.185000 0.352874  2.814850 0.500000
0.187500 0.359941  2.839375 0.500000
0.190000 0.367071  2.863900 0.500000
0.192500 0.374261  2.888425 0.500000
0.195000 0.381513  2.912950 0.500000
0.197500 0.388826  2.937475 0.500000
0.200000 0.396200  2.962000 0.500000
0.202500 0.403636  2.986525 0.500000
0.205000 0.411133  3.011050 0.500000
0.207500 0.418691  3.035575 0.500000
0.210000 0.426311  3.060100 0.500000
0.212500 0.433991  3.084625 0.500000
0.215000 0.441734  3.109150 0.500000
0.217500 0.449537  3.133675 0.500000
0.220000 0.457402  3.158200 0.500000
0.222500 0.465328  3.182725 0.500000
0.225000 0.473316  3.207250 0.500000
0.227500 0.481364  3.231775 0.500000
0.230000 0.489475  3.256300 0.500000
0.232500 0.497646  3.280825 0.500000
0.235000 0.505879  3.305350 0.500000
0.237500 0.514173  3.329875 0.500000
0.240000 0.522528  3.354400 0.500000
0.242500 0.530945  3.378925 0.500000
0.245000 0.539423  3.403450 0.500000
0.247500 0.547962  3.427975 0.500000
0.250000 0.556563  3.452500 0.500000
0.252500 0.565224  3.477025 0.500000
0.255000 0.573948  3.501550 0.500000
0.257500 0.582732  3.526075 0.500000
0.260000 0.591578  3.550600 0.500000
0.262500 0.600485  3.575125 0.500000
0.265000 0.609454  3.599650 0.500000
0.267500 0.618483  3.624175 0.500000
0.270000 0.627575  3.648700 0.500000
0.272500 0.636727  3.673225 0.500000
0.275000 0.645941  3.697750 0.500000
0.277500 0.655216  3.722275 0.500000
0.280000 0.664552  3.746800 0.500000
0.282500 0.673950  3.771325 0.500000
0.285000 0.683409  3.795850 0.500000
0.287500 0.692929  3.820375 0.500000
0.290000 0.702511  3.844900 0.500000
0.292500 0.712153  3.869425 0.500000
0.295000 0.721858  3.893950 0.500000
0.297500 0.731623  3.918475 0.500000
0.300000 0.741450  3.943000 0.500000
0.302500 0.751338  3.967525 0.500000
0.305000 0.761288  3.992050 0.500000
0.307500 0.771298  4.016575 0.500000
0.310000 0.781371  4.041100 0.500000
0.312500 0.791504  4.065625 0.500000
0.315000 0.801699  4.090150 0.500000
0.317500 0.811955  4.114675 0.500000
0.320000 0.822272  4.139200 0.500000
0.322500 0.832651  4.163725 0.500000
0.325000 0.843091  4.188250 0.500000
0.327500 0.853592  4.212775 0.500000
0.330000 0.864155  4.237300 0.500000
0.332500 0.874778  4.261825 0.500000
0.335000 0.885464  4.286350 0.500000
0.337500 0.896210  4.310875 0.500000
0.340000 0.907018  4.335400 0.500000
0.342500 0.917887  4.359925 0.500000
0.345000 0.928818  4.384450 0.500000
0.347500 0.939809  4.408975 0.500000
0.350000 0.950863  4.433500 0.500000
0.352500 0.961977  4.458025 0.500000
0.355000 0.973153  4.482550 0.500000
0.357500 0.984390  4.507075 0.500000
0.360000 0.995688  4.531600 0.500000
0.362500 1.007048  4.556125 0.500000
0.365000 1.018469  4.580650 0.500000
0.367500 1.029951  4.605175 0.500000
0.370000 1.041495  4.629700 0.500000
0.372500 1.053099  4.654225 0.500000
0.375000 1.064766  4.678750 0.500000
0.377500 1.076493  4.703275 0.500000
0.380000 1.088282  4.727800 0.500000
0.382500 1.100132  4.752325 0.500000
0.385000 1.112044  4.776850 0.500000
0.387500 1.124016  4.801375 0.500000
0.390000 1.136051  4.825900 0.500000
0.392500 1.148146  4.850425 0.500000
0.395000 1.160303  4.874950 0.500000
0.397500 1.172521  4.899475 0.500000
0.400000 1.184800  4.924000 0.500000
0.402500 1.197141  4.948525 0.500000
0.405000 1.209543  4.973050 0.500000
0.407500 1.222006  4.997575 0.500000
0.410000 1.234531  5.022100 0.500000
0.412500 1.247116  5.046625 0.500000
0.415000 1.259764  5.071150 0.500000
0.417500 1.272472  5.095675 0.500000
0.420000 1.285242  5.120200 0.500000
0.422500 1.298073  5.144725 0.500000
0.425000 1.310966  5.169250 0.500000
0.427500 1.323919  5.193775 0.500000
0.430000 1.336935  5.218300 0.500000
0.432500 1.350011  5.242825 0.500000
0.435000 1.363149  5.267350 0.500000
0.437500 1.376348  5.291875 0.500000
0.440000 1.389608  5.316400 0.500000
0.442500 1.402930  5.340925 0.500000
0.445000 1.416313  5.365450 0.500000
0.447500 1.429757  5.389975 0.500000
0.450000 1.443263  5.414500 0.500000
0.452500 1.456829  5.439025 0.500000
0.455000 1.470458  5.463550 0.500000
0.457500 1.484147  5.488075 0.500000
0.460000 1.497898  5.512600 0.500000
0.462500 1.511710  5.537125 0.500000
0.465000 1.525584  5.561650 0.500000
0.467500 1.539518  5.586175 0.500000
0.470000 1.553515  5.610700 0.500000
0.472500 1.567572  5.635225 0.500000
0.475000 1.581691  5.659750 0.500000
0.477500 1.595871  5.684275 0.500000
0.480000 1.610112  5.708800 0.500000
0.482500 1.624415  5.733325 0.500000
0.485000 1.638779  5.757850 0.500000
0.487500 1.653204  5.782375 0.500000
0.490000 1.667691  5.806900 0.500000
0.492500 1.682238  5.831425 0.500000
0.495000 1.696848  5.855950 0.500000
0.497500 1.711518  5.880475 0.500000
0.500000 1.726250  5.905000 0.500000
0.502500 1.741043  5.929525 0.500000
0.505000 1.755898  5.954050 0.500000
0.507500 1.770813  5.978575 0.500000
0.510000 1.785791  6.003100 0.500000
0.512500 1.800829  6.027625 0.500000
0.515000 1.815929  6.052150 0.500000
0.517500 1.831090  6.076675 0.500000
0.520000 1.846312  6.101200 0.500000
0.522500 1.861596  6.125725 0.500000
0.525000 1.876941  6.150250 0.500000
0.527500 1.892347  6.174775 0.500000
0.530000 1.907814  6.199300 0.500000
0.532500 1.923343  6.223825 0.500000
0.535000 1.938934  6.248350 0.500000
0.537500 1.954585  6.272875 0.500000
0.540000 1.970298  6.297400 0.500000
0.542500 1.986072  6.321925 0.500000
0.545000 2.001908  6.346450 0.500000
0.547500 2.017804  6.370975 0.500000
0.550000 2.033762  6.395500 0.500000
0.552500 2.049782  6.420025 0.500000
0.555000 2.065863  6.444550 0.500000
0.557500 2.082005  6.469075 0.500000
0.560000 2.098208  6.493600 0.500000
0.562500 2.114473  6.518125 0.500000
0.565000 2.130799  6.542650 0.500000
0.567500 2.147186  6.567175 0.500000
0.570000 2.163634  6.591700 0.500000
0.572500 2.180144  6.616225 0.500000
0.575000 2.196716  6.640750 0.500000
0.577500 2.213348  6.665275 0.500000
0.580000 2.230042  6.689800 0.500000
0.582500 2.246797  6.714325 0.500000
0.585000 2.263614  6.738850 0.500000
0.587500 2.280491  6.763375 0.500000
0.590000 2.297430  6.787900 0.500000
0.592500 2.314431  6.812425 0.500000
0.595000 2.331493  6.836950 0.500000
0.597500 2.348616  6.861475 0.500000
0.600000 2.365800  6.886000 0.500000
0.602500 2.383046  6.910525 0.500000
0.605000 2.400353  6.935050 0.500000
0.607500 2.417721  6.959575 0.500000
0.610000 2.435150  6.984100 0.500000
0.612500 2.452641  7.008625 0.500000
0.615000 2.470194  7.033150 0.500000
0.617500 2.487807  7.057675 0.500000
