0.000000 0.000000  1.000000 0.500000
0.002500 0.002500  0.977975 0.502743
0.005000 0.004945  0.955841 0.505326
0.007500 0.007335  0.933600 0.507756
0.010000 0.009669  0.911254 0.510040
0.012500 0.011947  0.888805 0.512184
0.015000 0.014169  0.866255 0.514194
0.017500 0.016334  0.843606 0.516075
0.020000 0.018443  0.820860 0.517835
0.022500 0.020495  0.798020 0.519479
0.025000 0.022491  0.775087 0.521012
0.027500 0.024428  0.752064 0.522441
0.030000 0.026308  0.728953 0.523772
0.032500 0.028131  0.705756 0.525009
0.035000 0.029895  0.682476 0.526159
0.037500 0.031601  0.659116 0.527226
0.040000 0.033249  0.635677 0.528217
0.042500 0.034838  0.612162 0.529136
0.045000 0.036369  0.588574 0.529987
0.047500 0.037840  0.564915 0.530777
0.050000 0.039252  0.541188 0.531509
0.052500 0.040605  0.517395 0.532188
0.055000 0.041899  0.493539 0.532819
0.057500 0.043133  0.469623 0.533406
0.060000 0.044307  0.445650 0.533952
0.062500 0.045421  0.421621 0.534462
0.065000 0.046475  0.397541 0.534939
0.067500 0.047469  0.373411 0.535388
0.070000 0.048402  0.349234 0.535810
0.072500 0.049275  0.325014 0.536210
0.075000 0.050088  0.300753 0.536590
0.077500 0.050840  0.276454 0.536953
0.080000 0.051531  0.252120 0.537302
0.082500 0.052161  0.227754 0.537639
0.085000 0.052731  0.203359 0.537966
0.087500 0.053239  0.178937 0.538285
0.090000 0.053686  0.154492 0.538598
0.092500 0.054073  0.130027 0.538907
0.095000 0.054398  0.105544 0.539212
0.097500 0.054662  0.081047 0.539515
0.100000 0.054864  0.056539 0.539817
0.102500 0.055006  0.032022 0.540118
0.105000 0.055086  0.007499 0.540418
0.107500 0.055104  -0.017026 0.540719
0.110000 0.055062  -0.041550 0.541020
0.112500 0.054958  -0.066071 0.541320
0.115000 0.054793  -0.090585 0.541620
0.117500 0.054566  -0.115089 0.541918
0.120000 0.054279  -0.139581 0.542215
0.122500 0.053930  -0.164057 0.542507
0.125000 0.053520  -0.188515 0.542795
0.127500 0.053048  -0.212951 0.543077
0.130000 0.052516  -0.237363 0.543351
0.132500 0.051922  -0.261747 0.543615
0.135000 0.051268  -0.286101 0.543867
0.137500 0.050553  -0.310421 0.544104
0.140000 0.049777  -0.334705 0.544324
0.142500 0.048940  -0.358950 0.544524
0.145000 0.048043  -0.383153 0.544701
0.147500 0.047085  -0.407311 0.544852
0.150000 0.046066  -0.431421 0.544974
