0.000000 0.000000  1.000000 0.500000
0.005000 0.004988  0.995025 0.543965
0.010000 0.009950  0.990099 0.587761
0.015000 0.014889  0.985222 0.631388
0.020000 0.019803  0.980392 0.674848
0.025000 0.024693  0.975610 0.718142
0.030000 0.029559  0.970874 0.761270
0.035000 0.034401  0.966184 0.804233
0.040000 0.039221  0.961538 0.847033
0.045000 0.044017  0.956938 0.889671
0.050000 0.048790  0.952381 0.932146
0.055000 0.053541  0.947867 0.974461
0.060000 0.058269  0.943396 1.016616
0.065000 0.062975  0.938967 1.058612
0.070000 0.067659  0.934579 1.100451
0.075000 0.072321  0.930233 1.142132
0.080000 0.076961  0.925926 1.183657
0.085000 0.081580  0.921659 1.225027
0.090000 0.086178  0.917431 1.266243
0.095000 0.090754  0.913242 1.307306
0.100000 0.095310  0.909091 1.348216
0.105000 0.099845  0.904977 1.388975
0.110000 0.104360  0.900901 1.429583
0.115000 0.108854  0.896861 1.470042
0.120000 0.113329  0.892857 1.510351
0.125000 0.117783  0.888889 1.550513
0.130000 0.122218  0.884956 1.590528
0.135000 0.126633  0.881057 1.630397
0.140000 0.131028  0.877193 1.670121
0.145000 0.135405  0.873362 1.709700
0.150000 0.139762  0.869565 1.749136
0.155000 0.144100  0.865801 1.788430
0.160000 0.148420  0.862069 1.827582
0.165000 0.152721  0.858369 1.866593
0.170000 0.157004  0.854701 1.905464
0.175000 0.161268  0.851064 1.944195
0.180000 0.165514  0.847458 1.982789
0.185000 0.169743  0.843882 2.021245
0.190000 0.173953  0.840336 2.059564
0.195000 0.178146  0.836820 2.097748
0.200000 0.182322  0.833333 2.135797
0.205000 0.186480  0.829876 2.173711
0.210000 0.190620  0.826446 2.211492
0.215000 0.194744  0.823045 2.249141
0.220000 0.198851  0.819672 2.286658
0.225000 0.202941  0.816327 2.324044
0.230000 0.207014  0.813008 2.361300
0.235000 0.211071  0.809717 2.398427
0.240000 0.215111  0.806452 2.435425
0.245000 0.219136  0.803213 2.472295
0.250000 0.223144  0.800000 2.509038
0.255000 0.227136  0.796813 2.545655
0.260000 0.231112  0.793651 2.582147
0.265000 0.235072  0.790514 2.618514
0.270000 0.239017  0.787402 2.654756
0.275000 0.242946  0.784314 2.690876
0.280000 0.246860  0.781250 2.726873
0.285000 0.250759  0.778210 2.762749
0.290000 0.254642  0.775194 2.798503
0.295000 0.258511  0.772201 2.834137
0.300000 0.262364  0.769231 2.869651
0.305000 0.266203  0.766284 2.905047
