0.000000 0.000000  1.000000 0.500000
0.010000 0.010000  0.902900 0.505714
0.020000 0.019029  0.805615 0.511182
0.030000 0.027085  0.708164 0.516454
0.040000 0.034167  0.610566 0.521572
0.050000 0.040272  0.512839 0.526574
0.060000 0.045401  0.415002 0.531495
0.070000 0.049551  0.317074 0.536362
0.080000 0.052722  0.219074 0.541196
0.090000 0.054912  0.121022 0.546013
0.100000 0.056123  0.022937 0.550825
0.110000 0.056352  -0.075163 0.555637
0.120000 0.055600  -0.173257 0.560448
0.130000 0.053868  -0.271327 0.565252
0.140000 0.051154  -0.369353 0.570036
0.150000 0.047461  -0.467317 0.574784
0.160000 0.042788  -0.565198 0.579473
0.170000 0.037136  -0.662979 0.584073
0.180000 0.030506  -0.760639 0.588550
0.190000 0.022900  -0.858161 0.592865
0.200000 0.014318  -0.955524 0.596973
0.210000 0.004763  -1.052711 0.600823
0.220000 -0.005764  -1.149703 0.604360
0.230000 -0.017261  -1.246481 0.607524
0.240000 -0.029726  -1.343028 0.610247
0.250000 -0.043156  -1.439324 0.612461
0.260000 -0.057550  -1.535352 0.614090
0.270000 -0.072903  -1.631095 0.615054
0.280000 -0.089214  -1.726535 0.615269
0.290000 -0.106480  -1.821654 0.614646
0.300000 -0.124696  -1.916435 0.613093
0.310000 -0.143860  -2.010862 0.610513
0.320000 -0.163969  -2.104919 0.606805
0.330000 -0.185018  -2.198588 0.601866
0.340000 -0.207004  -2.291854 0.595588
0.350000 -0.229923  -2.384702 0.587860
0.360000 -0.253770  -2.477115 0.578569
0.370000 -0.278541  -2.569079 0.567597
0.380000 -0.304232  -2.660579 0.554827
0.390000 -0.330837  -2.751600 0.540136
0.400000 -0.358353  -2.842129 0.523401
0.410000 -0.386775  -2.932151 0.504495
0.420000 -0.416096  -3.021654 0.483291
0.430000 -0.446313  -3.110623 0.459660
0.440000 -0.477419  -3.199047 0.433471
0.450000 -0.509409  -3.286913 0.404593
0.460000 -0.542279  -3.374209 0.372892
0.470000 -0.576021  -3.460924 0.338235
0.480000 -0.610630  -3.547046 0.300489
0.490000 -0.646100  -3.632565 0.259518
0.500000 -0.682426  -3.717469 0.215189
0.510000 -0.719601  -3.801750 0.167367
0.520000 -0.757618  -3.885396 0.115917
0.530000 -0.796472  -3.968400 0.060707
0.540000 -0.836156  -4.050752 0.001603
0.550000 -0.876664  -4.132443 -0.061528
0.560000 -0.917988  -4.213466 -0.128815
0.570000 -0.960123  -4.293813 -0.200391
0.580000 -1.003061  -4.373476 -0.276382
0.590000 -1.046796  -4.452449 -0.356916
0.600000 -1.091320  -4.530724 -0.442119
0.610000 -1.136627  -4.608297 -0.532115
0.620000 -1.182710  -4.685161 -0.627024
0.630000 -1.229562  -4.761310 -0.726968
0.640000 -1.277175  -4.836740 -0.832062
0.650000 -1.325542  -4.911446 -0.942423
0.660000 -1.374657  -4.985423 -1.058162
0.670000 -1.424511  -5.058669 -1.179389
0.680000 -1.475098  -5.131179 -1.306212
0.690000 -1.526410  -5.202950 -1.438736
0.700000 -1.578439  -5.273979 -1.577060
0.710000 -1.631179  -5.344264 -1.721285
0.720000 -1.684622  -5.413803 -1.871506
0.730000 -1.738760  -5.482594 -2.027814
0.740000 -1.793586  -5.550635 -2.190300
0.750000 -1.849092  -5.617925 -2.359049
0.760000 -1.905271  -5.684464 -2.534143
0.770000 -1.962116  -5.750251 -2.715662
0.780000 -2.019618  -5.815286 -2.903681
0.790000 -2.077771  -5.879568 -3.098274
0.800000 -2.136567  -5.943099 -3.299508
0.810000 -2.195998  -6.005879 -3.507450
0.820000 -2.256057  -6.067908 -3.722162
0.830000 -2.316736  -6.129188 -3.943702
0.840000 -2.378028  -6.189721 -4.172125
0.850000 -2.439925  -6.249509 -4.407482
0.860000 -2.502420  -6.308552 -4.649822
0.870000 -2.565505  -6.366855 -4.899189
0.880000 -2.629174  -6.424418 -5.155625
0.890000 -2.693418  -6.481245 -5.419166
0.900000 -2.758231  -6.537338 -5.689847
0.910000 -2.823604  -6.592701 -5.967700
0.920000 -2.889531  -6.647338 -6.252750
0.930000 -2.956004  -6.701251 -6.545024
0.940000 -3.023017  -6.754444 -6.844540
0.950000 -3.090561  -6.806921 -7.151318
0.960000 -3.158631  -6.858687 -7.465371
0.970000 -3.227217  -6.909746 -7.786711
0.980000 -3.296315  -6.960101 -8.115346
0.990000 -3.365916  -7.009758 -8.451282
1.000000 -3.436013  -7.058721 -8.794519
1.010000 -3.506601  -7.106996 -9.145059
1.020000 -3.577671  -7.154586 -9.502896
1.030000 -3.649216  -7.201498 -9.868026
1.040000 -3.721231  -7.247737 -10.240438
1.050000 -3.793709  -7.293307 -10.620121
1.060000 -3.866642  -7.338215 -11.007060
1.070000 -3.940024  -7.382465 -11.401240
1.080000 -4.013849  -7.426064 -11.802639
1.090000 -4.088109  -7.469018 -12.211238
1.100000 -4.162800  -7.511332 -12.627011
1.110000 -4.237913  -7.553012 -13.049932
1.120000 -4.313443  -7.594064 -13.479974
1.130000 -4.389384  -7.634494 -13.917105
1.140000 -4.465729  -7.674308 -14.361292
1.150000 -4.542472  -7.713513 -14.812502
1.160000 -4.619607  -7.752115 -15.270698
1.170000 -4.697128  -7.790120 -15.735842
1.180000 -4.775029  -7.827534 -16.207893
1.190000 -4.853304  -7.864364 -16.686810
1.200000 -4.931948  -7.900615 -17.172549
1.210000 -5.010954  -7.936296 -17.665067
1.220000 -5.090317  -7.971411 -18.164316
1.230000 -5.170031  -8.005967 -18.670250
1.240000 -5.250091  -8.039972 -19.182818
1.250000 -5.330491  -8.073431 -19.701972
1.260000 -5.411225  -8.106350 -20.227658
1.270000 -5.492288  -8.138738 -20.759826
1.280000 -5.573676  -8.170598 -21.298420
1.290000 -5.655382  -8.201940 -21.843388
1.300000 -5.737401  -8.232768 -22.394672
1.310000 -5.819729  -8.263090 -22.952216
1.320000 -5.902360  -8.292911 -23.515964
1.330000 -5.985289  -8.322239 -24.085857
1.340000 -6.068511  -8.351079 -24.661837
1.350000 -6.152022  -8.379438 -25.243843
1.360000 -6.235816  -8.407323 -25.831817
1.370000 -6.319890  -8.434740 -26.425696
1.380000 -6.404237  -8.461695 -27.025421
1.390000 -6.488854  -8.488195 -27.630930
1.400000 -6.573736  -8.514246 -28.242161
1.410000 -6.658878  -8.539853 -28.859051
1.420000 -6.744277  -8.565024 -29.481538
1.430000 -6.829927  -8.589765 -30.109559
1.440000 -6.915825  -8.614081 -30.743051
1.450000 -7.001966  -8.637978 -31.381951
1.460000 -7.088345  -8.661463 -32.026195
1.470000 -7.174960  -8.684543 -32.675719
1.480000 -7.261806  -8.707221 -33.330462
1.490000 -7.348878  -8.729506 -33.990357
1.500000 -7.436173  -8.751401 -34.655343
1.510000 -7.523687  -8.772914 -35.325356
1.520000 -7.611416  -8.794050 -36.000331
1.530000 -7.699356  -8.814815 -36.680206
1.540000 -7.787505  -8.835214 -37.364918
1.550000 -7.875857  -8.855253 -38.054403
1.560000 -7.964409  -8.874937 -38.748598
1.570000 -8.053159  -8.894273 -39.447441
1.580000 -8.142101  -8.913265 -40.150870
1.590000 -8.231234  -8.931919 -40.858822
1.600000 -8.320553  -8.950239 -41.571235
1.610000 -8.410056  -8.968233 -42.288048
1.620000 -8.499738  -8.985903 -43.009199
1.630000 -8.589597  -9.003257 -43.734629
1.640000 -8.679630  -9.020298 -44.464275
1.650000 -8.769833  -9.037032 -45.198079
1.660000 -8.860203  -9.053465 -45.935980
1.670000 -8.950737  -9.069599 -46.677919
1.680000 -9.041433  -9.085442 -47.423837
1.690000 -9.132288  -9.100996 -48.173676
1.700000 -9.223298  -9.116268 -48.927378
1.710000 -9.314461  -9.131262 -49.684886
1.720000 -9.405773  -9.145982 -50.446141
1.730000 -9.497233  -9.160433 -51.211089
1.740000 -9.588837  -9.174619 -51.979673
1.750000 -9.680584  -9.188546 -52.751837
1.760000 -9.772469  -9.202216 -53.527527
1.770000 -9.864491  -9.215636 -54.306688
1.780000 -9.956647  -9.228808 -55.089266
1.790000 -10.048936  -9.241737 -55.875208
1.800000 -10.141353  -9.254427 -56.664461
1.810000 -10.233897  -9.266883 -57.456974
1.820000 -10.326566  -9.279108 -58.252694
1.830000 -10.419357  -9.291106 -59.051570
1.840000 -10.512268  -9.302881 -59.853552
1.850000 -10.605297  -9.314438 -60.658590
1.860000 -10.698441  -9.325779 -61.466635
1.870000 -10.791699  -9.336909 -62.277637
1.880000 -10.885068  -9.347831 -63.091549
1.890000 -10.978547  -9.358549 -63.908323
1.900000 -11.072132  -9.369066 -64.727913
1.910000 -11.165823  -9.379387 -65.550270
1.920000 -11.259617  -9.389514 -66.375351
1.930000 -11.353512  -9.399451 -67.203109
1.940000 -11.447506  -9.409201 -68.033500
1.950000 -11.541598  -9.418768 -68.866480
1.960000 -11.635786  -9.428155 -69.702005
1.970000 -11.730067  -9.437365 -70.540032
1.980000 -11.824441  -9.446401 -71.380520
1.990000 -11.918905  -9.455267 -72.223425
2.000000 -12.013458  -9.463965 -73.068708
2.010000 -12.108097  -9.472498 -73.916327
2.020000 -12.202822  -9.480870 -74.766242
2.030000 -12.297631  -9.489083 -75.618414
2.040000 -12.392522  -9.497140 -76.472804
2.050000 -12.487493  -9.505045 -77.329374
2.060000 -12.582544  -9.512799 -78.188086
2.070000 -12.677672  -9.520405 -79.048901
2.080000 -12.772876  -9.527867 -79.911785
2.090000 -12.868155  -9.535187 -80.776701
2.100000 -12.963506  -9.542367 -81.643612
2.110000 -13.058930  -9.549410 -82.512484
2.120000 -13.154424  -9.556319 -83.383283
2.130000 -13.249987  -9.563096 -84.255974
2.140000 -13.345618  -9.569743 -85.130524
2.150000 -13.441316  -9.576263 -86.006900
2.160000 -13.537078  -9.582658 -86.885069
2.170000 -13.632905  -9.588931 -87.764999
2.180000 -13.728794  -9.595083 -88.646659
2.190000 -13.824745  -9.601118 -89.530018
2.200000 -13.920756  -9.607036 -90.415046
2.210000 -14.016827  -9.612841 -91.301712
2.220000 -14.112955  -9.618534 -92.189987
2.230000 -14.209140  -9.624118 -93.079841
2.240000 -14.305382  -9.629595 -93.971247
2.250000 -14.401678  -9.634965 -94.864177
2.260000 -14.498027  -9.640233 -95.758601
2.270000 -14.594430  -9.645399 -96.654494
2.280000 -14.690883  -9.650465 -97.551829
2.290000 -14.787388  -9.655434 -98.450578
2.300000 -14.883942  -9.660306 -99.350717
2.310000 -14.980546  -9.665085 -100.252220
2.320000 -15.077196  -9.669771 -101.155062
2.330000 -15.173894  -9.674366 -102.059219
2.340000 -15.270638  -9.678873 -102.964665
2.350000 -15.367426  -9.683292 -103.871378
2.360000 -15.464259  -9.687626 -104.779333
2.370000 -15.561136  -9.691876 -105.688509
2.380000 -15.658054  -9.696044 -106.598882
2.390000 -15.755015  -9.700130 -107.510431
2.400000 -15.852016  -9.704138 -108.423132
2.410000 -15.949058  -9.708068 -109.336966
2.420000 -16.046138  -9.711921 -110.251911
2.430000 -16.143257  -9.715700 -111.167946
2.440000 -16.240414  -9.719405 -112.085051
2.450000 -16.337608  -9.723038 -113.003205
2.460000 -16.434839  -9.726601 -113.922390
2.470000 -16.532105  -9.730094 -114.842586
2.480000 -16.629406  -9.733519 -115.763775
2.490000 -16.726741  -9.736878 -116.685936
2.500000 -16.824110  -9.740171 -117.609053
2.510000 -16.921511  -9.743400 -118.533107
2.520000 -17.018945  -9.746566 -119.458080
2.530000 -17.116411  -9.749671 -120.383956
2.540000 -17.213908  -9.752714 -121.310716
2.550000 -17.311435  -9.755699 -122.238346
2.560000 -17.408992  -9.758625 -123.166827
2.570000 -17.506578  -9.761495 -124.096144
2.580000 -17.604193  -9.764308 -125.026282
2.590000 -17.701836  -9.767066 -125.957224
2.600000 -17.799507  -9.769771 -126.888955
2.610000 -17.897205  -9.772422 -127.821460
2.620000 -17.994929  -9.775022 -128.754726
2.630000 -18.092679  -9.777571 -129.688736
2.640000 -18.190455  -9.780070 -130.623477
2.650000 -18.288255  -9.782520 -131.558936
2.660000 -18.386081  -9.784922 -132.495098
2.670000 -18.483930  -9.787278 -133.431949
2.680000 -18.581803  -9.789587 -134.369478
2.690000 -18.679699  -9.791851 -135.307670
2.700000 -18.777617  -9.794071 -136.246514
2.710000 -18.875558  -9.796247 -137.185996
2.720000 -18.973520  -9.798380 -138.126105
2.730000 -19.071504  -9.800472 -139.066828
2.740000 -19.169509  -9.802523 -140.008154
2.750000 -19.267534  -9.804533 -140.950071
2.760000 -19.365579  -9.806504 -141.892568
2.770000 -19.463644  -9.808437 -142.835633
2.780000 -19.561729  -9.810332 -143.779257
2.790000 -19.659832  -9.812189 -144.723427
2.800000 -19.757954  -9.814010 -145.668133
2.810000 -19.856094  -9.815795 -146.613366
2.820000 -19.954252  -9.817545 -147.559115
2.830000 -20.052427  -9.819261 -148.505369
2.840000 -20.150620  -9.820943 -149.452120
2.850000 -20.248829  -9.822592 -150.399358
2.860000 -20.347055  -9.824209 -151.347073
2.870000 -20.445298  -9.825794 -152.295256
2.880000 -20.543555  -9.827348 -153.243898
2.890000 -20.641829  -9.828871 -154.192991
2.900000 -20.740118  -9.830364 -155.142524
2.910000 -20.838421  -9.831828 -156.092491
2.920000 -20.936740  -9.833263 -157.042882
2.930000 -21.035072  -9.834670 -157.993689
2.940000 -21.133419  -9.836049 -158.944905
2.950000 -21.231779  -9.837402 -159.896521
2.960000 -21.330153  -9.838727 -160.848529
2.970000 -21.428541  -9.840027 -161.800923
2.980000 -21.526941  -9.841300 -162.753693
2.990000 -21.625354  -9.842549 -163.706834
3.000000 -21.723779  -9.843773 -164.660338
3.010000 -21.822217  -9.844974 -165.614198
3.020000 -21.920667  -9.846150 -166.568407
3.030000 -22.019128  -9.847303 -167.522957
3.040000 -22.117601  -9.848434 -168.477844
3.050000 -22.216086  -9.849542 -169.433059
3.060000 -22.314581  -9.850629 -170.388597
3.070000 -22.413087  -9.851694 -171.344451
3.080000 -22.511604  -9.852738 -172.300615
3.090000 -22.610132  -9.853762 -173.257083
3.100000 -22.708669  -9.854765 -174.213850
3.110000 -22.807217  -9.855749 -175.170909
3.120000 -22.905775  -9.856713 -176.128254
3.130000 -23.004342  -9.857658 -177.085880
3.140000 -23.102918  -9.858585 -178.043782
3.150000 -23.201504  -9.859493 -179.001954
3.160000 -23.300099  -9.860383 -179.960391
3.170000 -23.398703  -9.861256 -180.919088
3.180000 -23.497315  -9.862112 -181.878039
3.190000 -23.595937  -9.862951 -182.837240
3.200000 -23.694566  -9.863773 -183.796686
3.210000 -23.793204  -9.864579 -184.756372
3.220000 -23.891850  -9.865369 -185.716293
3.230000 -23.990503  -9.866143 -186.676445
3.240000 -24.089165  -9.866903 -187.636822
3.250000 -24.187834  -9.867647 -188.597422
3.260000 -24.286510  -9.868376 -189.558239
3.270000 -24.385194  -9.869092 -190.519269
3.280000 -24.483885  -9.869793 -191.480508
3.290000 -24.582583  -9.870480 -192.441952
3.300000 -24.681288  -9.871153 -193.403597
3.310000 -24.779999  -9.871814 -194.365439
3.320000 -24.878717  -9.872461 -195.327473
3.330000 -24.977442  -9.873096 -196.289697
3.340000 -25.076173  -9.873717 -197.252107
3.350000 -25.174910  -9.874327 -198.214698
3.360000 -25.273653  -9.874925 -199.177468
3.370000 -25.372403  -9.875511 -200.140413
3.380000 -25.471158  -9.876085 -201.103529
3.390000 -25.569918  -9.876648 -202.066813
3.400000 -25.668685  -9.877200 -203.030262
3.410000 -25.767457  -9.877741 -203.993872
3.420000 -25.866234  -9.878271 -204.957641
3.430000 -25.965017  -9.878791 -205.921565
3.440000 -26.063805  -9.879300 -206.885641
3.450000 -26.162598  -9.879800 -207.849866
3.460000 -26.261396  -9.880289 -208.814237
3.470000 -26.360199  -9.880769 -209.778752
3.480000 -26.459007  -9.881239 -210.743408
