0.000000 0.000000  1.000000 0.000000e+00
0.010000 0.010000  0.999500 0.000000e+00
0.020000 0.019990  0.998001 2.777500e-15
0.030000 0.029960  0.995503 1.387084e-14
0.040000 0.039900  0.992010 3.876849e-14
0.050000 0.049800  0.987525 8.287610e-14
0.060000 0.059651  0.982052 1.514840e-13
0.070000 0.069441  0.975598 2.497357e-13
0.080000 0.079163  0.968168 3.825963e-13
0.090000 0.088805  0.959769 5.548232e-13
0.100000 0.098358  0.950411 7.709372e-13
0.110000 0.107813  0.940103 1.035195e-12
0.120000 0.117160  0.928854 1.351563e-12
0.130000 0.126390  0.916677 1.723695e-12
0.140000 0.135493  0.903582 2.154907e-12
0.150000 0.144462  0.889585 2.648158e-12
0.160000 0.153285  0.874697 3.206033e-12
0.170000 0.161956  0.858935 3.830726e-12
0.180000 0.170464  0.842314 4.524024e-12
0.190000 0.178802  0.824851 5.287299e-12
0.200000 0.186961  0.806563 6.121496e-12
0.210000 0.194933  0.787468 7.027130e-12
0.220000 0.202710  0.767586 8.004277e-12
0.230000 0.210285  0.746936 9.052576e-12
0.240000 0.217649  0.725540 1.017123e-11
0.250000 0.224796  0.703417 1.135901e-11
0.260000 0.231717  0.680592 1.261425e-11
0.270000 0.238407  0.657085 1.393488e-11
0.280000 0.244859  0.632922 1.531842e-11
0.290000 0.251066  0.608126 1.676200e-11
0.300000 0.257022  0.582721 1.826235e-11
0.310000 0.262720  0.556734 1.981587e-11
0.320000 0.268156  0.530191 2.141862e-11
0.330000 0.273324  0.503117 2.306631e-11
0.340000 0.278219  0.475539 2.475442e-11
0.350000 0.282835  0.447487 2.647811e-11
0.360000 0.287168  0.418987 2.823233e-11
0.370000 0.291215  0.390067 3.001183e-11
0.380000 0.294970  0.360758 3.181117e-11
0.390000 0.298430  0.331088 3.362479e-11
0.400000 0.301591  0.301087 3.544699e-11
0.410000 0.304452  0.270785 3.727202e-11
0.420000 0.307007  0.240212 3.909409e-11
0.430000 0.309256  0.209399 4.090739e-11
0.440000 0.311195  0.178376 4.270617e-11
0.450000 0.312823  0.147176 4.448473e-11
0.460000 0.314139  0.115827 4.623747e-11
0.470000 0.315140  0.084363 4.795895e-11
0.480000 0.315826  0.052815 4.964387e-11
0.490000 0.316196  0.021214 5.128718e-11
0.500000 0.316250  -0.010408 5.288405e-11
0.510000 0.315988  -0.042020 5.442992e-11
0.520000 0.315410  -0.073590 5.592055e-11
0.530000 0.314516  -0.105086 5.735202e-11
0.540000 0.313308  -0.136478 5.872078e-11
0.550000 0.311787  -0.167732 6.002368e-11
0.560000 0.309953  -0.198819 6.125796e-11
0.570000 0.307810  -0.229707 6.242130e-11
0.580000 0.305359  -0.260366 6.351184e-11
0.590000 0.302603  -0.290764 6.452820e-11
0.600000 0.299544  -0.320871 6.546945e-11
0.610000 0.296185  -0.350658 6.633520e-11
0.620000 0.292531  -0.380094 6.712554e-11
0.630000 0.288584  -0.409149 6.784107e-11
0.640000 0.284348  -0.437796 6.848292e-11
0.650000 0.279828  -0.466005 6.905274e-11
0.660000 0.275028  -0.493747 6.955268e-11
0.670000 0.269953  -0.520996 6.998540e-11
0.680000 0.264608  -0.547725 7.035409e-11
0.690000 0.258998  -0.573905 7.066239e-11
0.700000 0.253130  -0.599511 7.091444e-11
0.710000 0.247008  -0.624518 7.111485e-11
0.720000 0.240639  -0.648900 7.126865e-11
0.730000 0.234030  -0.672634 7.138130e-11
0.740000 0.227187  -0.695695 7.145865e-11
0.750000 0.220116  -0.718060 7.150693e-11
