0.000000 0.000000  1.000000 0.500000
0.100000 0.098342  0.950415 0.500000
0.200000 0.186931  0.806578 0.500000
0.300000 0.256982  0.582754 0.500000
0.400000 0.301549  0.301137 0.500000
0.500000 0.316211  -0.010342 0.500000
0.600000 0.299515  -0.320796 0.500000
0.700000 0.253116  -0.599437 0.500000
0.800000 0.181615  -0.818632 0.500000
0.900000 0.092104  -0.956644 0.500000
1.000000 -0.006541  -0.999786 0.500000
1.100000 -0.104537  -0.943780 0.500000
1.200000 -0.192166  -0.794179 0.500000
1.300000 -0.260739  -0.565820 0.500000
1.400000 -0.303454  -0.281350 0.500000
1.500000 -0.316076  0.031023 0.500000
1.600000 -0.297352  0.340318 0.500000
1.700000 -0.249141  0.615865 0.500000
1.800000 -0.176222  0.830336 0.500000
1.900000 -0.085827  0.962464 0.500000
2.000000 0.013079  0.999144 0.500000
2.100000 0.110688  0.936740 0.500000
2.200000 0.197320  0.781440 0.500000
2.300000 0.264384  0.548645 0.500000
2.400000 0.305229  0.261441 0.500000
2.500000 0.315805  -0.051689 0.500000
2.600000 0.295063  -0.359694 0.500000
2.700000 0.245059  -0.632029 0.500000
2.800000 0.170753  -0.841685 0.500000
2.900000 0.079514  -0.967872 0.500000
3.000000 -0.019611  -0.998075 0.500000
3.100000 -0.116791  -0.929300 0.500000
3.200000 -0.202389  -0.768367 0.500000
3.300000 -0.267916  -0.531235 0.500000
3.400000 -0.306874  -0.241421 0.500000
3.500000 -0.315399  0.072334 0.500000
3.600000 -0.292647  0.378917 0.500000
3.700000 -0.240873  0.647922 0.500000
3.800000 -0.165212  0.852673 0.500000
3.900000 -0.073166  0.972865 0.500000
4.000000 0.026135  0.996579 0.500000
4.100000 0.122844  0.921462 0.500000
4.200000 0.207371  0.754965 0.500000
4.300000 0.271333  0.513598 0.500000
4.400000 0.308387  0.221298 0.500000
4.500000 0.314859  -0.092948 0.500000
4.600000 0.290106  -0.397977 0.500000
4.700000 0.236583  -0.663538 0.500000
4.800000 0.159599  -0.863297 0.500000
4.900000 0.066787  -0.977443 0.500000
5.000000 -0.032648  -0.994656 0.500000
5.100000 -0.128845  -0.913230 0.500000
5.200000 -0.212265  -0.741240 0.500000
5.300000 -0.274634  -0.495741 0.500000
5.400000 -0.309769  -0.201080 0.500000
5.500000 -0.314183  0.113522 0.500000
5.600000 -0.287441  0.416867 0.500000
5.700000 -0.232193  0.678870 0.500000
5.800000 -0.153918  0.873551 0.500000
5.900000 -0.060380  0.981602 0.500000
6.000000 0.039146  0.992308 0.500000
6.100000 0.134791  0.904608 0.500000
6.200000 0.217068  0.727198 0.500000
6.300000 0.277818  0.477672 0.500000
6.400000 0.311018  0.180776 0.500000
6.500000 0.313374  -0.134048 0.500000
6.600000 0.284653  -0.435578 0.500000
6.700000 0.227703  -0.693912 0.500000
6.800000 0.148172  -0.883431 0.500000
6.900000 0.053947  -0.985341 0.500000
7.000000 -0.045628  -0.989535 0.500000
7.100000 -0.140678  -0.895598 0.500000
7.200000 -0.221778  -0.712844 0.500000
7.300000 -0.280883  -0.459399 0.500000
7.400000 -0.312134  -0.160394 0.500000
7.500000 -0.312430  0.154516 0.500000
7.600000 -0.281743  0.454103 0.500000
7.700000 -0.223115  0.708657 0.500000
7.800000 -0.142362  0.892934 0.500000
7.900000 -0.047490  0.988659 0.500000
8.000000 0.052091  0.986339 0.500000
8.100000 0.146506  0.886205 0.500000
8.200000 0.226393  0.698186 0.500000
8.300000 0.283828  0.440929 0.500000
8.400000 0.313116  0.139944 0.500000
8.500000 0.311352  -0.174918 0.500000
8.600000 0.278712  -0.472434 0.500000
8.700000 0.218433  -0.723099 0.500000
8.800000 0.136491  -0.902054 0.500000
8.900000 0.041014  -0.991554 0.500000
9.000000 -0.058531  -0.982721 0.500000
9.100000 -0.152271  -0.876433 0.500000
9.200000 -0.230911  -0.683229 0.500000
9.300000 -0.286651  -0.422270 0.500000
9.400000 -0.313964  -0.119434 0.500000
9.500000 -0.310142  0.195245 0.500000
9.600000 -0.275563  0.490563 0.500000
9.700000 -0.213656  0.737231 0.500000
9.800000 -0.130562  0.910789 0.500000
9.900000 -0.034519  0.994024 0.500000
10.000000 0.064946  0.978683 0.500000
