0.000000 0.305916  0.000000 0.000000
0.250000 0.305916  -0.764790 0.000000
0.500000 0.114718  -1.529580 0.024480
0.750000 -0.267676  -1.816376 0.109654
1.000000 -0.721770  -1.147185 0.213336
1.250000 -1.008567  0.657241 0.245863
1.500000 -0.844256  3.178658 0.265512
1.750000 -0.049592  5.289299 0.570841
2.000000 1.272733  5.413278 1.328375
2.250000 2.626052  2.231446 2.057429
2.500000 3.183914  -4.333685 2.157197
2.750000 2.100493  -12.293470 2.697641
3.000000 -0.972875  -17.544702 6.606392
3.250000 -5.359050  -15.112515 14.284612
3.500000 -9.137179  -1.714890 19.815801
3.750000 -9.565901  21.128057 19.864765
4.000000 -4.283887  45.042810 31.242896
4.250000 6.976816  55.752528 81.905422
4.500000 20.914947  38.310489 158.939847
4.750000 30.492570  -13.976880 195.031544
5.000000 26.998350  -90.208304 200.056563
5.250000 4.446274  -157.704178 403.347789
5.500000 -34.979771  -168.819862 1023.170604
5.750000 -77.184737  -81.370434 1733.024696
6.000000 -97.527345  111.591407 1897.758969
6.250000 -69.629493  355.409770 2208.856640
6.500000 19.222949  529.483503 5362.308095
6.750000 151.593825  481.426131 12362.833740
7.000000 271.950357  102.441568 18152.531583
7.250000 297.560750  -577.434325 18415.122221
7.500000 153.202168  -1321.336199 26743.535841
7.750000 -177.131881  -1704.341620 70371.130805
8.000000 -603.217286  -1261.511916 142974.871424
8.250000 -918.595265  246.531300 182763.465013
8.500000 -856.962440  2543.019464 184279.724375
8.750000 -221.207575  4685.425565 345913.837841
9.000000 950.148817  5238.444501 894702.057368
9.250000 2259.759942  2863.072459 1580749.907806
9.500000 2975.528057  -2786.327395 1785717.020577
9.750000 2278.946208  -10225.147537 1979764.324020
