0.000000 0.000000  1.000000 0.000000
0.250000 0.250000  0.687500 0.025000
0.500000 0.343750  -0.054688 0.030353
0.750000 0.222656  -0.762695 0.033792
1.000000 -0.037598  -0.994019 0.057940
1.250000 -0.274353  -0.604080 0.082318
1.500000 -0.339638  0.163408 0.085829
1.750000 -0.192649  0.828767 0.091577
2.000000 0.074746  0.976146 0.118832
2.250000 0.295424  0.513434 0.142020
2.500000 0.331462  -0.270174 0.143975
2.750000 0.160337  -0.884923 0.152559
3.000000 -0.110999  -0.946595 0.182560
3.250000 -0.312961  -0.416645 0.204042
3.500000 -0.319322  0.373708 0.204839
3.750000 -0.126107  0.930494 0.216711
4.000000 0.145925  0.905721 0.248979
4.250000 0.326754  0.314873 0.268321
4.500000 0.303361  -0.472771 0.268452
4.750000 0.090368  -0.964933 0.283961
5.000000 -0.179105  -0.854012 0.317922
5.250000 -0.336638  -0.209333 0.334788
5.500000 -0.283772  0.566179 0.334823
5.750000 -0.053548  0.987829 0.354199
6.000000 0.210143  0.792086 0.389205
6.250000 0.342495  0.101289 0.403378
6.500000 0.260787  -0.652813 0.403935
6.750000 0.016088  -0.998907 0.427273
7.000000 -0.238666  -0.720685 0.462629
7.250000 -0.344254  0.007966 0.474022
7.500000 -0.234683  0.731638 0.475744
7.750000 0.021565  0.998036 0.502996
8.000000 0.264335  0.640662 0.537988
8.250000 0.341896  -0.117127 0.546649
8.500000 0.205772  -0.801711 0.550173
8.750000 -0.058960  -0.985225 0.581146
9.000000 -0.286841  -0.552974 0.615072
9.250000 -0.335447  0.224886 0.621184
9.500000 -0.174398  0.862192 0.627112
9.750000 0.095649  0.960629 0.661471
